id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
59723115,Tue Sep 15 2020 17:43:52 GMT-0400 (EDT),2020-09-15,2020-09-15 21:43:52 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-09-15 21:45:19 UTC,2020-09-17 00:50:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/59723115,https://inaturalist-open-data.s3.amazonaws.com/photos/95446007/medium.jpg,,"",,3,1,false,3,"Penn Park, Philadelphia, PA, US",39.94876333,-75.187395,6,,,,6,,open,false,,,Cooper's Hawk,Accipiter cooperii,Cooper's Hawk,Aves,5112
61402245,Thu Oct 01 2020 11:41:02 GMT-0400 (EDT),2020-10-01,2020-10-01 15:41:02 UTC,Eastern Time (US & Canada),86267,joedurrance,2020-10-01 16:40:34 UTC,2021-04-16 18:59:51 UTC,research,,https://www.inaturalist.org/observations/61402245,https://static.inaturalist.org/photos/98252780/medium.jpg,,"",,2,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.949059616,-75.1980253718,72,,,,72,,open,false,,,Hooded Warbler,Setophaga citrina,Hooded Warbler,Aves,145229
64550792,Mon Nov 09 2020 15:56:09 GMT-0500 (EST),2020-11-09,2020-11-09 20:56:09 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-11-09 21:45:15 UTC,2020-11-20 12:06:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/64550792,https://inaturalist-open-data.s3.amazonaws.com/photos/103794819/medium.jpg,,"","",2,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9515,-75.1916966667,25,,,,25,,open,false,,,Cooper's Hawk,Accipiter cooperii,Cooper's Hawk,Aves,5112
66107480,Fri Nov 27 2020 10:15:25 GMT-0500 (EST),2020-11-27,2020-11-27 15:15:25 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-12-04 22:07:37 UTC,2021-07-28 18:26:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/66107480,https://inaturalist-open-data.s3.amazonaws.com/photos/106498371/medium.jpg,,"",My hunch is that a hawk or a falcon ate it. I’m not certain what it is.,1,0,false,3,"Penn Park, Philadelphia, PA, US",39.9511033333,-75.183945,8,,,,8,,open,false,,,Blue Jay,Cyanocitta cristata,Blue Jay,Aves,8229
67938205,Sat Jan 09 2021 12:02:41 GMT-0500 (EST),2021-01-09,2021-01-09 17:02:41 UTC,Eastern Time (US & Canada),86267,joedurrance,2021-01-12 02:45:59 UTC,2021-04-16 18:58:42 UTC,research,,https://www.inaturalist.org/observations/67938205,https://static.inaturalist.org/photos/109894200/medium.jpg,,"","",1,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9494770034,-75.1981316426,46,,,,46,,open,false,,,Ruby-crowned Kinglet,Regulus calendula,Ruby-crowned Kinglet,Aves,117095
68392573,Wed Jan 20 2021 16:26:02 GMT-0500 (EST),2021-01-20,2021-01-20 21:26:02 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-01-21 03:04:42 UTC,2021-09-05 16:02:20 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/68392573,https://inaturalist-open-data.s3.amazonaws.com/photos/110730676/medium.jpg,,"","",1,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9519663708,-75.1832955091,395,,,,395,,,false,,,Large White-headed Gulls,Larus,Large White-headed Gulls,Aves,4343
68393013,Wed Jan 20 2021 10:28:06 GMT-0500 (EST),2021-01-20,2021-01-20 15:28:06 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-01-21 03:17:15 UTC,2021-02-04 13:10:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68393013,https://inaturalist-open-data.s3.amazonaws.com/photos/110731449/medium.jpg,,"","Two peregrine falcons on the 30th Street Train Station :-)
",3,0,false,3,"Market St, Philadelphia, PA, US",39.9534761438,-75.1818614918,395,,,,395,,,false,,,Halcón peregrino,Falco peregrinus,Peregrine Falcon,Aves,4647
68474781,Fri Jan 22 2021 12:15:30 GMT-0500 (EST),2021-01-22,2021-01-22 17:15:30 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-01-23 03:09:03 UTC,2021-01-23 21:34:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68474781,https://inaturalist-open-data.s3.amazonaws.com/photos/110883808/medium.jpg,,"","",1,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9528259173,-75.1841862811,395,,,,395,,,false,,,Faucon pèlerin,Falco peregrinus,Peregrine Falcon,Aves,4647
68565638,Sat Jan 23 2021 12:35:12 GMT-0500 (EST),2021-01-23,2021-01-23 17:35:12 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-01-24 21:16:52 UTC,2021-01-24 22:26:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68565638,https://inaturalist-open-data.s3.amazonaws.com/photos/111056528/medium.jpg,,"",Two peregrine falcons,1,0,false,3,"Market St, Philadelphia, PA, US",39.953551558,-75.1820038573,395,,,,395,,,false,,,Faucon pèlerin,Falco peregrinus,Peregrine Falcon,Aves,4647
69393925,Wed Feb 10 2021 15:18:59 GMT-0500 (EST),2021-02-10,2021-02-10 20:18:59 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-11 02:34:03 UTC,2021-02-12 04:06:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69393925,https://inaturalist-open-data.s3.amazonaws.com/photos/112580789/medium.jpg,,"",1 of 2 peregrine falcons. ,1,0,false,3,"S 24th St, Philadelphia, PA, US",39.95057,-75.18032,65,,,,65,,,false,,,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Aves,4647
69393977,Wed Feb 10 2021 15:17:42 GMT-0500 (EST),2021-02-10,2021-02-10 20:17:42 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-11 02:35:11 UTC,2021-02-11 04:24:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69393977,https://inaturalist-open-data.s3.amazonaws.com/photos/112580857/medium.jpg,,"",2 of 2 peregrine falcons. ,1,0,false,3,"S 24th St, Philadelphia, PA, US",39.95057,-75.18032,65,,,,65,,,false,,,Faucon pèlerin,Falco peregrinus,Peregrine Falcon,Aves,4647
70075132,Tue Feb 23 2021 07:56:34 GMT-0500 (EST),2021-02-23,2021-02-23 12:56:34 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-24 05:10:12 UTC,2021-02-24 23:42:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70075132,https://inaturalist-open-data.s3.amazonaws.com/photos/113851730/medium.jpg,,"","falcon #1 of two peregrine falcons. I have seen them sit here one at a time on the top left corner. Never seen them come together like that on the top left corner, I wonder if falcon #1 had caught pray and was eating it up there. ",1,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9524594121,-75.1866628502,157,,,,157,,,false,,,Faucon pèlerin,Falco peregrinus,Peregrine Falcon,Aves,4647
70075221,Tue Feb 23 2021 07:50:00 GMT-0500 (EST),2021-02-23,2021-02-23 12:50:00 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-24 05:12:01 UTC,2021-02-24 07:29:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70075221,https://inaturalist-open-data.s3.amazonaws.com/photos/113851827/medium.jpg,,"",Falcon #2 of two peregrine falcons. Falcon #2 was circling and hovering above #1 and then settled on the right corner of the building. ,1,0,false,3,"Highline Green, Philadelphia, PA, US",39.952677908,-75.18603608,395,,,,395,,,false,,,Faucon pèlerin,Falco peregrinus,Peregrine Falcon,Aves,4647
